firm_id,firm_name,city,county,state,practice_areas,year_founded,estimated_attorney_count,phone,website,verified_source,firm_type,status
OH-000036,"Lee, Davis & Edwards",Marietta,Washington,OH,Debt Relief; Environmental Law; Visa Matters,2007,53,(937) 538-6190,https://u5uszxrasj.lawyers,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000037,Medina & Rogers Counsel,Lima,Allen,OH,Energy Law; Healthcare Law; Traffic Law,1974,2,(937) 518-2452,https://q3rbu5.law,Ohio State Bar Public Directory,Small Firm (2-10),ACTIVE
OH-000038,Young Legal,Athens,Athens,OH,Custody; Construction Law,2006,56,(440) 854-7011,,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000039,Howell Law Firm,Canton,Stark,OH,Insurance Law; Administrative Law,1993,15,(567) 639-7557,https://03fu7qs25x.lawyers,Ohio State Bar Public Directory,Mid-Size (11-50),ACTIVE
OH-000040,"Murphy, Martin & Young",Lima,Allen,OH,Energy Law,1972,81,(567) 288-1057,https://2l14odt8u.lawyers,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000041,Taylor Partners,Akron,Summit,OH,Intellectual Property; White Collar Crime,2005,164,(330) 554-7455,https://ezko5l.legal,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000042,"Garcia, Jones & Lewis",Gallipolis,Gallia,OH,Traffic Law,2017,238,(937) 778-7937,https://dmr665v1.lawyers,Ohio State Bar Public Directory,National (200+),ACTIVE
OH-000043,"Collins, Walker & Morris",Lorain,Lorain,OH,Energy Law; Real Estate; Trusts,1991,8,(614) 404-4462,https://gzg2fw4cfs.attorney,Ohio State Bar Public Directory,Small Firm (2-10),ACTIVE
OH-000044,Howell Legal,Massillon,Stark,OH,Divorce; Administrative Law,1979,91,(740) 471-6468,https://lzzbz.attorney,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000045,Graves Partners,Gallipolis,Gallia,OH,Probate; Traffic Law; Product Liability,1983,181,(216) 579-6354,https://bqsajrqkv.lawyers,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000046,"Johnson, Brown & Campbell",Lima,Allen,OH,Workers Compensation; Tax Law,2001,97,(216) 939-7996,https://ek5nwn9t6b.attorney,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000047,"Moore, Barnes & Hall",Chillicothe,Ross,OH,DUI Defense,1986,28,(216) 738-3383,https://yaq6l.attorney,Ohio State Bar Public Directory,Mid-Size (11-50),ACTIVE
OH-000048,"Taylor, King & Mathis",Toledo,Lucas,OH,Family Law; Construction Law,1961,225,(614) 523-4532,https://zkx4td0i.attorney,Ohio State Bar Public Directory,National (200+),ACTIVE
OH-000049,"Rodriguez, Taylor & Garcia",Tiffin,Seneca,OH,Corporate Law; Product Liability; Education Law; Tax Law,1997,200,(740) 556-8116,https://2p46vb04.attorney,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000050,Taylor & Walker Attorneys,Mount Vernon,Knox,OH,Energy Law; HR Compliance; Business Formation,1971,152,(216) 889-6298,https://3u2d3.legal,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000051,Jones & King LLP,Bowling Green,Wood,OH,Visa Matters; Custody; Product Liability; Insurance Law,1992,3,(937) 849-5929,https://c0iywwf.lawyers,Ohio State Bar Public Directory,Small Firm (2-10),ACTIVE
OH-000052,Scott Legal,Athens,Athens,OH,Insurance Law; Criminal Law,2020,22,(330) 588-2079,,Ohio State Bar Public Directory,Mid-Size (11-50),ACTIVE
OH-000053,Parker Associates,Zanesville,Muskingum,OH,Patent Law; Tax Law,2018,198,(330) 858-4302,https://ffnvf.lawyers,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000054,Hall Associates,Delaware,Delaware,OH,Property Law; Environmental Law; Healthcare Law; Patent Law,1989,206,(380) 302-1555,https://fi3g4.attorney,Ohio State Bar Public Directory,National (200+),ACTIVE
OH-000055,Wilson LLC,Akron,Summit,OH,Commercial Law; Criminal Law; Tax Law,1967,117,(440) 735-1612,https://jqrtcm.legal,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000056,Shaffer PLLC,Lima,Allen,OH,Government Relations,2021,78,(330) 730-1098,https://13qrqf.legal,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000057,"Lopez, Collins & Martinez",Springfield,Clark,OH,Corporate Law; DUI Defense; Immigration Law,2002,110,(614) 801-7870,https://tzq02mnr.lawyers,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000058,Young & Taylor Partners,Mansfield,Richland,OH,Employment Law,1970,166,(216) 900-9599,https://zqewichfs6.lawyers,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000059,Gonzalez Legal Group,Massillon,Stark,OH,White Collar Crime; Government Relations; Family Law; Estate Planning,1973,113,(330) 842-3900,https://pk7jmg.attorney,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000060,Peterson LLC,Toledo,Lucas,OH,Administrative Law; Corporate Law,1963,106,(567) 739-8163,https://eduvq.attorney,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000061,Ortiz Law Firm,Cleveland,Cuyahoga,OH,Family Law,1966,102,(614) 260-9761,https://ekeu5qxs.lawyers,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000062,Hall & Phillips Associates,Hamilton,Butler,OH,Environmental Law,1989,178,(614) 806-5112,https://vtscsl0qx1.law,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000063,"Reyes, Garcia & Lee",Lima,Allen,OH,White Collar Crime; Corporate Law; Employment Law,1997,130,(740) 313-8017,https://gagi50.legal,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000064,"Thomas, Sutton & Hall",Lima,Allen,OH,DUI Defense; Construction Law,2015,87,(440) 690-4155,,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000065,Graves LLC,Mount Vernon,Knox,OH,Intellectual Property,1967,113,(567) 889-2845,https://rv56wp9.lawyers,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000066,"Cooper, Phillips & Morgan",Xenia,Greene,OH,Trial Law; Employment Law; Securities Law,2005,125,(440) 643-4191,,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000067,Young & Parker PLLC,Kettering,Montgomery,OH,Custody; Administrative Law,1990,137,(567) 476-5793,https://d3vchob3zc.lawyers,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000068,Edwards Legal,Elyria,Lorain,OH,Family Law; Administrative Law; HR Compliance; Education Law,2011,228,(216) 971-2893,https://hfv3mcugx.lawyers,Ohio State Bar Public Directory,National (200+),ACTIVE
OH-000069,White & Martin Associates,Chillicothe,Ross,OH,Property Law,1961,176,(380) 896-9846,,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000070,Stewart Associates,Bowling Green,Wood,OH,Litigation; Corporate Law,1987,242,(216) 773-6203,https://2ioo4w.legal,Ohio State Bar Public Directory,National (200+),ACTIVE
OH-000071,Miller Legal Services,Youngstown,Mahoning,OH,Visa Matters; Employment Law; Probate,1976,83,(740) 280-7040,https://3p99qzs.lawyers,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000072,"Walker, Taylor & Walker",Westlake,Cuyahoga,OH,Healthcare Law; Litigation,2020,176,(513) 495-7106,https://78k8q8ky.legal,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000073,Parker & White Legal Services,Medina,Medina,OH,Custody; HR Compliance; Government Relations,1992,137,(937) 692-1783,https://xedzjjjq.legal,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000074,"Murphy, Thomas & Davis",Cleveland,Cuyahoga,OH,Government Relations; Patent Law; Workers Compensation; Trial Law,2017,103,(419) 387-8097,https://0x115.legal,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000075,Brown & Thomas PLLC,Delaware,Delaware,OH,Education Law; Family Law,1960,183,(740) 368-3035,https://fjyroejv.law,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000076,Taylor & Rogers PLLC,Marion,Marion,OH,Environmental Law; Property Law,2015,145,(419) 979-4589,https://21dfqor9.lawyers,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000077,"Lewis, Moore & Peterson",Xenia,Greene,OH,Government Relations; Nonprofit Law,1990,181,(937) 279-3877,https://hh94xy.legal,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000078,Walker Law Firm,Gallipolis,Gallia,OH,Traffic Law; Intellectual Property; Contract Law,1997,149,(330) 252-8381,https://5262d3xcuf.attorney,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000079,Taylor Legal Group,Huber Heights,Montgomery,OH,Patent Law; Education Law; Workers Compensation; Probate,1984,111,(614) 257-5841,,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000080,"Parker, King & Peterson",Medina,Medina,OH,Compliance; Custody,2014,44,(740) 347-2666,,Ohio State Bar Public Directory,Mid-Size (11-50),ACTIVE
OH-000081,Peterson & Ortiz Counsel,Marietta,Washington,OH,Compliance; Trusts; Civil Litigation,1992,178,(330) 465-9751,https://qc739qx.law,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000082,"Jones, Wilson & Mathis",Worthington,Franklin,OH,Probate,1969,128,(330) 359-2982,,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000083,Torres & Lindsey Law Group,Westlake,Cuyahoga,OH,Nonprofit Law; Healthcare Law; Employment Law; Trial Law,1981,145,(567) 690-5901,https://wiuxj.legal,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000084,Murphy & Peterson PLLC,Lima,Allen,OH,Insurance Law; HR Compliance; Environmental Law,2021,11,(740) 619-3892,https://xlq4t5qr.lawyers,Ohio State Bar Public Directory,Mid-Size (11-50),ACTIVE
OH-000085,Rogers PLLC,Euclid,Cuyahoga,OH,Nonprofit Law; Personal Injury,2021,11,(513) 724-5926,https://rzzferrp.law,Ohio State Bar Public Directory,Mid-Size (11-50),ACTIVE
OH-000086,Wilkinson LLC,Toledo,Lucas,OH,Environmental Law,1968,137,(513) 326-5064,https://ngew9xv.lawyers,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000087,"Rogers, Hernandez & Valdez",Huber Heights,Montgomery,OH,Healthcare Law; Estate Planning,1984,209,(937) 434-8578,https://445x1ztau.legal,Ohio State Bar Public Directory,National (200+),ACTIVE
OH-000088,"Smith, Brown & Murphy",Marion,Marion,OH,Personal Injury; Intellectual Property; Trusts,2003,199,(330) 578-6786,https://g4jytf.attorney,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000089,"Clark, Harris & Rodriguez",Marion,Marion,OH,Intellectual Property; Commercial Law,1996,223,(614) 546-5538,https://58rqi5.attorney,Ohio State Bar Public Directory,National (200+),ACTIVE
OH-000090,Garcia Counsel,Lorain,Lorain,OH,Contract Law,2021,203,(330) 976-8954,,Ohio State Bar Public Directory,National (200+),ACTIVE
OH-000091,"Jackson, Thomas & Collins",Warren,Trumbull,OH,Personal Injury,1968,16,(740) 618-6931,https://tbb59iccl0.legal,Ohio State Bar Public Directory,Mid-Size (11-50),ACTIVE
OH-000092,Murphy Attorneys,Gahanna,Franklin,OH,Visa Matters; Commercial Law; Custody,2015,188,(937) 811-3002,https://78rm9qlawi.legal,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000093,Shaffer & Bennett Law Group,Hamilton,Butler,OH,Intellectual Property; Trial Law; Administrative Law; Custody,1981,135,(740) 328-4061,https://y1srsg0.legal,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000094,"Thomas, Rodriguez & Williams",Lima,Allen,OH,DUI Defense; Environmental Law; Custody,1980,109,(614) 836-8726,https://ie5ugjh.law,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000095,"Gonzalez, Edwards & Young",Columbus,Franklin,OH,Intellectual Property; Employment Law; Probate; Visa Matters,1999,55,(330) 758-4544,https://iihnvs39ah.attorney,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000096,"Garcia, Sutton & Miller",Worthington,Franklin,OH,Administrative Law; Probate; Litigation,1978,137,(216) 462-7752,https://sz0ftep.attorney,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000097,Johnson & Sutton PLLC,Zanesville,Muskingum,OH,Employment Law; Energy Law,1968,237,(380) 735-2916,https://qviab5.attorney,Ohio State Bar Public Directory,National (200+),ACTIVE
OH-000098,Young LLP,Worthington,Franklin,OH,Property Law; White Collar Crime; Energy Law,2011,165,(614) 784-7659,,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000099,"Martinez, Lindsey & Miller",Marion,Marion,OH,Visa Matters; Government Relations,1990,74,(216) 671-7888,https://reert06.lawyers,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000100,"Young, Stewart & Edwards",Newark,Licking,OH,HR Compliance,1989,174,(380) 733-7465,https://o80206o.attorney,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000101,King & Lopez LLP,Bowling Green,Wood,OH,Compliance; Immigration Law; Corporate Law,1992,249,(937) 691-1135,https://xtd9tm9.legal,Ohio State Bar Public Directory,National (200+),ACTIVE
OH-000102,Edwards & Bennett Associates,Gallipolis,Gallia,OH,Environmental Law; Insurance Law; Commercial Law,2001,215,(614) 955-4243,https://x8xfeyr4ql.legal,Ohio State Bar Public Directory,National (200+),ACTIVE
OH-000103,"Rodriguez, Howell & Lopez",Sandusky,Erie,OH,Trial Law; Probate,1960,78,(567) 642-8702,https://e4ih1.lawyers,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000104,"Cooper, Wilson & Martinez",Warren,Trumbull,OH,Divorce; Employment Law; Traffic Law; Patent Law,1978,182,(513) 210-1308,https://f190jqzw2.lawyers,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000105,Stewart Law Group,Mount Vernon,Knox,OH,Government Relations; Corporate Law; Traffic Law; Family Law,1986,124,(330) 360-7734,,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000106,Mathis & Brown Partners,Toledo,Lucas,OH,Commercial Law; Contract Law,2018,69,(440) 345-6187,https://koh9o11o.attorney,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000107,"Smith, Young & Davis",Worthington,Franklin,OH,Real Estate; HR Compliance; Construction Law; Probate,2001,112,(330) 792-8892,https://zkrxslpr1.legal,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000108,"Peterson, Rodriguez & Lee",Lorain,Lorain,OH,HR Compliance; Bankruptcy,2001,69,(567) 413-5638,https://9i5ys08.attorney,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000109,Hall & Williams Attorneys,Gallipolis,Gallia,OH,Government Relations; Insurance Law,2013,5,(567) 355-6088,https://5xm30ictw.law,Ohio State Bar Public Directory,Small Firm (2-10),ACTIVE
OH-000110,"Anderson, Moore & Collins",Westlake,Cuyahoga,OH,DUI Defense; Litigation,2015,26,(513) 993-6887,,Ohio State Bar Public Directory,Mid-Size (11-50),ACTIVE
OH-000111,Collins Legal Group,Hamilton,Butler,OH,Healthcare Law,1960,189,(216) 541-6664,https://c95p7nm3cz.lawyers,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000112,Hernandez PLLC,Springfield,Clark,OH,Administrative Law; Workers Compensation; Tax Law,1975,29,(614) 644-2889,,Ohio State Bar Public Directory,Mid-Size (11-50),ACTIVE
OH-000113,Clark Counsel,Bowling Green,Wood,OH,Tax Law; Bankruptcy; Litigation; Estate Planning,2006,190,(440) 247-7431,,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000114,Davis Counsel,Medina,Medina,OH,Family Law; Immigration Law; White Collar Crime,2014,181,(440) 480-2443,https://f6a6byapky.attorney,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000115,"Bennett, Cooper & Harris",Cincinnati,Hamilton,OH,Environmental Law; Litigation; Debt Relief,2008,107,(216) 888-2480,https://5gckzxg.law,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000116,Garcia & Scott Partners,Gahanna,Franklin,OH,Property Law,2011,89,(419) 280-1323,https://xyro4t95qq.lawyers,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000117,"Harris, Martin & Lewis",Ashland,Ashland,OH,DUI Defense; Business Formation; Custody,1970,79,(380) 327-3556,https://63uz1j.lawyers,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000118,Williams Legal,Steubenville,Jefferson,OH,Family Law,1977,174,(614) 721-4220,https://2dvr9hxz.lawyers,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000119,Taylor Legal Services,Gallipolis,Gallia,OH,Corporate Law; Custody,1987,18,(440) 850-8036,https://qy3yay4je.lawyers,Ohio State Bar Public Directory,Mid-Size (11-50),ACTIVE
OH-000120,Lindsey Legal Services,Kettering,Montgomery,OH,Estate Planning; Trusts; Family Law,2020,12,(567) 528-4123,https://t06b48lh06.legal,Ohio State Bar Public Directory,Mid-Size (11-50),ACTIVE
OH-000121,Rogers Law Group,Xenia,Greene,OH,Property Law; Energy Law,2013,78,(567) 451-1518,https://o0frvsnuhx.lawyers,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000122,"Shaffer, Gutierrez & Peterson",Parma,Cuyahoga,OH,Compliance; Criminal Law,1960,162,(380) 316-5809,https://1v6tw7.lawyers,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000123,Scott PLLC,Sandusky,Erie,OH,DUI Defense; Criminal Law; Environmental Law; Immigration Law,1996,45,(440) 551-3298,https://bc6t6rhr.lawyers,Ohio State Bar Public Directory,Mid-Size (11-50),ACTIVE
OH-000124,Lopez Attorneys,Tiffin,Seneca,OH,Corporate Law; Securities Law; Trial Law,1984,21,(614) 901-6863,https://m39sd7.attorney,Ohio State Bar Public Directory,Mid-Size (11-50),ACTIVE
OH-000125,Miller & Shaffer Counsel,Tiffin,Seneca,OH,DUI Defense,1995,237,(440) 964-7274,https://amrdhig.law,Ohio State Bar Public Directory,National (200+),ACTIVE
OH-000126,Bennett & Campbell Partners,Sandusky,Erie,OH,DUI Defense; Healthcare Law; Government Relations; Commercial Law,2023,155,(937) 721-3052,https://5b7qe.law,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000127,"Harris, Brown & Miller",Massillon,Stark,OH,Intellectual Property; Business Formation; Traffic Law,1976,67,(216) 356-2721,,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000128,"Lindsey, Shaffer & Phillips",Parma,Cuyahoga,OH,Bankruptcy; Insurance Law; Compliance,2013,131,(419) 800-6243,,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000129,"Wilkinson, Rodriguez & Howell",Zanesville,Muskingum,OH,White Collar Crime; Compliance,2012,204,(216) 449-5823,https://2d07i.legal,Ohio State Bar Public Directory,National (200+),ACTIVE
OH-000130,White Attorneys,Columbus,Franklin,OH,Family Law,2002,200,(216) 954-1551,https://byu57nr.lawyers,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000131,"Sutton, Morris & Edwards",Marion,Marion,OH,Trusts; Estate Planning; Product Liability,1990,38,(419) 264-3748,https://ytkf6g.legal,Ohio State Bar Public Directory,Mid-Size (11-50),ACTIVE
OH-000132,Smith Partners,Mount Vernon,Knox,OH,Environmental Law,1981,91,(937) 784-3177,https://vcgg1l.attorney,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000133,Moore & Harris Law Firm,Wooster,Wayne,OH,Workers Compensation; Tax Law,1977,65,(567) 462-7352,https://j9ny7.lawyers,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000134,Edwards Legal Services,Middletown,Butler,OH,Commercial Law; Administrative Law; Trial Law,1981,98,(380) 980-8907,https://5ckzrbxq.law,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000135,Mathis & Gutierrez Legal,Huber Heights,Montgomery,OH,Immigration Law; Securities Law; Employment Law,1969,193,(614) 442-1669,,Ohio State Bar Public Directory,Large (50-200),ACTIVE
OH-000136,Murphy LLP,Marietta,Washington,OH,Probate; Medical Malpractice; Family Law,1965,57,(567) 688-7098,https://qsxymuq.attorney,Ohio State Bar Public Directory,Large (50-200),ACTIVE
